name,gender,age,class,embarked,country,ticketno,fare,sibsp,parch,survived
"Berglund, Mr. Karl Ivar Sven",male,22,3rd,S,Finland,4348,9.07,0,0,0
"Berriman, Mr. William John",male,23,2nd,S,England,28425,13,0,0,0
"Bessette, Miss. Nellie Mayo",female,39,1st,C,United States,17760,63.0702,0,0,1
"Bidois, Miss. Rosalie",female,46,1st,C,NA,17757,247.1006,0,0,1
"Bing, Mr. Lee",male,32,3rd,S,NA,1601,56.0911,0,0,1
"Bird, Miss. Ellen",female,31,1st,S,England,17483,221.1507,0,0,1
"Birkeland, Mr. Hans Martin Monsen",male,21,3rd,S,Norway,312992,7.1506,0,0,0
"Birnbaum, Mr. Jakob",male,24,1st,C,NA,13905,26,0,0,0
"Bishop, Mr. Dickinson H.",male,25,1st,C,United States,11967,91.0107,1,0,1
"Bishop, Mrs. Helen",female,19,1st,C,United States,11967,91.0107,1,0,1
"Björklund, Mr. Ernst Herbert",male,18,3rd,S,Sweden,347090,7.15,0,0,0
"Björnström-Steffansson, Mr. Mauritz Hokan",male,28,1st,S,Sweden,110564,26.11,0,0,1
"Blackwell, Mr. Stephen Weart",male,45,1st,S,United States,113784,35.1,0,0,0
"Blank, Mr. Henry",male,39,1st,C,United States,112277,31,0,0,1
"Bonnell, Miss. Caroline",female,30,1st,S,United States,36928,164.1704,0,0,1
"Bonnell, Miss. Elizabeth",female,61,1st,S,England,113783,26.11,0,0,1
"Borebank, Mr. John James",male,41,1st,S,England,110489,26.11,0,0,0
"Bostandyeff, Mr. Guentcho",male,26,3rd,S,NA,349224,7.1711,0,0,0
"Botsford, Mr. William Hull",male,25,2nd,S,United States,237670,13,0,0,0
"Bourke, Miss. Mary",female,40,3rd,Q,Ireland,364848,7.15,0,2,0
"Bourke, Mr. John",male,42,3rd,Q,Ireland,364849,15.1,1,1,0
"Bourke, Mrs. Catherine",female,32,3rd,Q,Ireland,364849,15.1,1,1,0
"Bowen, Miss. Grace Scott",female,45,1st,C,United States,17608,262.0706,0,0,1
"Bowen, Mr. David John 'Dai'",male,26,3rd,S,Wales,54636,16.02,0,0,0
"Bowenur, Mr. Solomon",male,42,2nd,S,NA,211535,13,0,0,0
"Bowerman, Miss. Elsie Edith",female,22,1st,S,England,113505,55,0,1,1
"Bracken, Mr. James Hollen",male,30,2nd,S,United States,220367,13,0,0,0
"Bradley, Miss. Bridget Delia",female,22,3rd,Q,Ireland,334914,7.1406,0,0,1
"Brady, Mr. John Bertram",male,41,1st,S,United States,113054,30.1,0,0,0
"Braf, Miss. Elin Ester Maria",female,20,3rd,S,Sweden,347471,7.1701,0,0,0
"Brailey, Mr. William Theodore Ronald",male,24,2nd,S,England,250654,NA,NA,NA,0
"Brandeis, Mr. Emil Franklin",male,48,1st,C,United States,17591,50.0911,0,0,0
"Braund, Mr. Lewis Richard",male,29,3rd,S,England,3460,7,1,0,0
"Braund, Mr. Owen Harris",male,23,3rd,S,England,21171,7.05,1,0,0
"Brereton, Mr. George Andrew",male,37,1st,S,United States,111427,26.11,0,0,1
"Brewe, Dr. Arthur Jackson",male,46,1st,C,United States,112379,39.12,0,0,0
"Bricoux, Mr. Roger Marie",male,20,2nd,S,France,250654,NA,NA,NA,0
"Brito, Mr. José Joaquim de",male,32,2nd,S,NA,244360,13,0,0,0
"Brobäck, Mr. Karl Rudolf",male,22,3rd,S,Sweden,350045,7.1511,0,0,0
"Brocklebank, Mr. William Alfred",male,40,3rd,S,England,364512,8.01,0,0,0
"Brown, Miss. Amelia Mary",female,18,2nd,S,England,248733,13,0,0,1
"Brown, Miss. Edith Eileen",female,15,2nd,S,South Africa,29750,39,0,2,1
"Brown, Mrs. Caroline Lane",female,59,1st,S,United States,11769,51.0907,2,0,1
"Brown, Mrs. Elizabeth Catherine",female,40,2nd,S,South Africa,29750,39,1,1,1
"Brown, Mrs. Margaret",female,44,1st,C,United States,17610,27.1405,0,0,1
"Brown, Mr. Thomas William Solomon",male,60,2nd,S,South Africa,29750,39,1,1,0
"Bryhl, Miss. Dagmar Jenny Ingeborg",female,20,2nd,S,Sweden,236853,26,1,0,1
"Bryhl, Mr. Kurt Arnold Gottfrid",male,25,2nd,S,Sweden,236853,26,1,0,0
"Buckley, Miss. Katherine",female,22,3rd,Q,Ireland,329944,7.0508,0,0,0
"Buckley, Mr. Daniel",male,21,3rd,Q,Ireland,330920,7.1517,0,0,1
"Bucknell, Mrs. Emma Eliza",female,58,1st,C,India,11813,76.051,0,0,1
"Būlus, Master. Akar",male,7,3rd,C,Lebanon,2678,15.0411,1,1,0
"Būlus, Miss. Nūr al-'ayn",female,10,3rd,C,Lebanon,2678,15.0411,1,1,0
"Būlus, Mrs. Sultānah",female,40,3rd,C,Lebanon,2678,15.0411,0,2,0
"Burke, Mr. Jeremiah",male,19,3rd,Q,Ireland,365222,6.15,0,0,0
"Burns, Miss. Elizabeth Margaret",female,41,1st,C,NA,16966,134.1,0,0,1
"Burns, Miss. Mary Delia",female,17,3rd,Q,Ireland,330963,7.1707,0,0,0
"Buss, Miss. Kate",female,36,2nd,S,England,27849,13,0,0,1
"Butler, Mr. Reginald Fenton",male,26,2nd,S,England,234686,13,0,0,0
"Butrus-Ka'wī, Mr. Tannūs",male,21,3rd,C,Lebanon,2648,7.0407,0,0,0
"Butt, Major. Archibald Willingham",male,46,1st,S,United States,113050,26.11,0,0,0
"Byles, Fr. Thomas Roussel Davids",male,42,2nd,S,England,244310,13,0,0,0
"Byström, Mrs. Karolina",female,40,2nd,S,United States,236852,13,0,0,1
"Cacic, Miss. Manda",female,21,3rd,S,Croatia (Modern),315087,8.1303,0,0,0
"Cacic, Miss. Marija",female,30,3rd,S,Croatia (Modern),315084,8.1303,0,0,0
"Cacic, Mr. Jego Grga",male,18,3rd,S,Croatia (Modern),315091,8.1303,0,0,0
"Cacic, Mr. Luka",male,38,3rd,S,Croatia (Modern),315089,8.1303,0,0,0
"Cairns, Mr. Alexander Milne",male,28,1st,S,Scotland,113798,31,0,0,0
"Calderhead, Mr. Edward Pennington",male,42,1st,S,United States,17476,26.0509,0,0,1
"Caldwell, Master. Alden Gates",male,0.8333333333,2nd,S,Siam,248738,29,0,2,1
"Caldwell, Mr. Albert Francis",male,26,2nd,S,Siam,248738,29,1,1,1
"Caldwell, Mrs. Sylvia Mae",female,28,2nd,S,United States,248738,29,1,1,1
"Calic, Mr. Jovo",male,17,3rd,S,Croatia (Modern),315093,8.1303,0,0,0
"Calic, Mr. Petar",male,17,3rd,S,Croatia (Modern),315086,8.1303,0,0,0
"Cameron, Miss. Clear Annie",female,35,2nd,S,England,13528,21,0,0,1
"Campbell, Mr. William Henry",male,21,2nd,B,Northern Ireland,239853,NA,0,0,0
"Canavan, Miss. Mary",female,22,3rd,Q,Ireland,364846,7.15,0,0,0
"Canavan, Mr. Patrick",male,21,3rd,Q,Ireland,364858,7.15,0,0,0
"Candee, Mrs. Helen Churchill",female,52,1st,C,United States,17606,27.0811,0,0,1
"Cann, Mr. Ernest",male,29,3rd,S,England,2152,8.01,0,0,0
"Caram, Mr. Joseph",male,28,3rd,C,Canada,2689,14.0902,1,0,0
"Caram, Mrs. Maria Elias",female,18,3rd,C,Lebanon,2689,14.0902,1,0,0
"Carbines, Mr. William",male,19,2nd,S,England,28424,13,0,0,0
"Cardeza, Mrs. Charlotte Wardle",female,58,1st,C,United States,17755,512.0607,0,1,1
"Cardeza, Mr. Thomas Drake Martinez",male,36,1st,C,United States,17755,512.0607,0,1,1
"Carlsson, Mr. August Sigfrid",male,28,3rd,S,Sweden,350042,7.1511,0,0,0
"Carlsson, Mr. Carl Robert",male,24,3rd,S,Sweden,350409,7.1701,0,0,0
"Carlsson, Mr. Frans Olof",male,33,1st,S,United States,695,5,0,0,0
"Carraú-Esteves, Mr. José Pedro",male,17,1st,S,Uruguay,113059,47.02,0,0,0
"Carrau, Mr. Francisco Mauro Severiano",male,27,1st,S,Uruguay,113059,47.02,0,0,0
"Carr, Miss. Jane",female,45,3rd,Q,Ireland,368364,7.15,0,0,0
"Carter, Fr. Ernest Courtenay",male,54,2nd,S,England,244252,26,1,0,0
"Carter, Master. William Thornton II",male,11,1st,S,United States,113760,120,1,2,1
"Carter, Miss. Lucile Polk",female,13,1st,S,United States,113760,120,1,2,1
"Carter, Mrs. Lilian",female,45,2nd,S,England,244252,26,1,0,0
"Carter, Mrs. Lucile",female,36,1st,S,United States,113760,120,1,2,1
"Carter, Mr. William Ernest",male,36,1st,S,United States,113760,120,1,2,1
"Carver, Mr. Alfred John",male,28,3rd,S,England,370160,7.05,0,0,0
"Case, Mr. Howard Brown",male,49,1st,S,United States,19924,26,0,0,0
"Cassebeer, Mrs. Eleanor Genevieve",female,36,1st,C,United States,17770,27.1405,0,0,1
"Cavendish, Mrs. Julia Florence",female,25,1st,S,United States,19877,78.17,1,0,1
"Cavendish, Mr. Tyrell William",male,36,1st,S,England,19877,78.17,1,0,0
"Celotti, Mr. Francesco",male,24,3rd,S,NA,343275,8.01,0,0,0
"Chaffee, Mr. Herbert Fuller",male,46,1st,S,United States,5734,61.0306,1,0,0
"Chaffee, Mrs. Carrie Constance",female,47,1st,S,United States,5734,61.0306,1,0,1
"Chambers, Mr. Norman Campbell",male,27,1st,S,United States,113806,53.02,1,0,1
"Chambers, Mrs. Bertha",female,32,1st,S,United States,113806,53.02,1,0,1
"Chapman, Mr. Charles Henry",male,52,2nd,S,United States,248731,13.1,0,0,0
"Chapman, Mr. John Henry",male,37,2nd,S,England,29037,26,1,0,0
"Chapman, Mrs. Sara Elizabeth",female,29,2nd,S,England,29037,26,1,0,0
"Charters, Mr. David",male,20,3rd,Q,Ireland,13032,7.1408,0,0,0
"Chaudanson, Miss. Victorine",female,36,1st,C,NA,17608,262.0706,0,0,1
"Cherry, Miss. Gladys",female,30,1st,S,England,110152,86.1,0,0,1
"Chevré, Mr. Paul Romaine Marie Léonce",male,45,1st,C,Belgium,17594,29.14,0,0,1
"Chibnall, Mrs. Edith Martha Bowerman",female,48,1st,S,England,113505,55,0,1,1
"Chip, Mr. Chang",male,32,3rd,S,NA,1601,56.0911,0,0,1
"Chisholm, Mr. Roderick Robert Crispin",male,43,1st,B,Scotland,112051,NA,0,0,0
"Christmann, Mr. Emil",male,29,3rd,S,England,343276,8.01,0,0,0
"Christy, Miss. Rachel Juli Cohen",female,25,2nd,S,England,237789,30,1,1,1
"Christy, Mrs. Alice Frances",female,52,2nd,S,England,237789,30,0,2,1
"Chronopoulos, Mr. Apostolos M.",male,26,3rd,C,NA,2680,14.0901,1,0,0
"Chronopoulos, Mr. Dimitrios M.",male,21,3rd,C,NA,2680,14.0901,1,0,0
"Clarke, Mr. Charles Valentine",male,29,2nd,S,England,2003,26,1,0,0
"Clarke, Mr. John Frederick Preston",male,28,2nd,S,England,250654,NA,NA,NA,0
"Clarke, Mrs. Ada Maria",female,28,2nd,S,England,2003,27,1,0,1
"Clark, Mrs. Virginia Estelle",female,26,1st,C,United States,13508,136.1507,1,0,1
"Clark, Mr. Walter Miller",male,27,1st,C,United States,13508,136.1507,1,0,0
"Cleaver, Miss. Alice Catherine",female,22,1st,S,England,113781,151.16,0,0,1
"Clifford, Mr. George Quincy",male,40,1st,S,United States,110465,52,0,0,0
"Coelho, Mr. Domingos Fernandeo",male,20,3rd,S,NA,3101307,7.01,0,0,0
"Cohen, Mr. Gurshon",male,18,3rd,S,England,3540,8.01,0,0,1
"Colbert, Mr. Patrick",male,24,3rd,Q,Ireland,371109,7.05,0,0,0
"Coleff, Mr. Satio",male,24,3rd,S,Bulgaria,349209,7.1711,0,0,0
"Coleridge, Mr. Reginald Charles",male,29,2nd,S,England,14263,10.1,0,0,0
"Collander, Mr. Erik Gustaf",male,27,2nd,S,Finland,248740,13,0,0,0
"Collett, Mr. Sidney Clarence Stuart",male,25,2nd,S,England,28034,10.1,0,0,1
"Colley, Mr. Edward Pomeroy",male,37,1st,S,Ireland,5727,25.1109,0,0,0
"Collyer, Miss. Marjorie Lottie",female,8,2nd,S,England,31921,26.05,0,2,1
"Collyer, Mr. Harvey",male,31,2nd,S,England,31921,26.05,1,1,0
"Collyer, Mrs. Charlotte Caroline",female,30,2nd,S,England,31921,26.05,1,1,1
"Coltcheff, Mr. Peju",male,36,3rd,S,Bulgaria,349210,7.1711,0,0,0
"Compton, Miss. Sara Rebecca",female,39,1st,C,United States,17756,83.0302,1,1,1
"Compton, Mr. Alexander Taylor jr",male,37,1st,C,United States,17756,83.0302,1,1,0
"Compton, Mrs. Mary Eliza",female,64,1st,C,United States,17756,83.0302,0,2,1
"Conlin, Mr. Thomas Henry",male,31,3rd,Q,United States,21332,7.1408,0,0,0
"Connaughton, Mr. Michael",male,40,3rd,Q,Ireland,335097,7.15,0,0,0
"Connolly, Miss. Catherine",female,23,3rd,Q,Ireland,370373,7.15,0,0,1
"Connolly, Miss. Kate",female,41,3rd,Q,Ireland,330972,7.1207,0,0,0
"Connors, Mr. Patrick",male,66,3rd,Q,Ireland,370369,7.15,0,0,0
"Cook, Mr. Jacob",male,43,3rd,S,NA,3536,8.01,0,0,0
"Cook, Mrs. Selena",female,22,2nd,S,England,14266,10.1,0,0,1
"Corbett, Mrs. Irene",female,30,2nd,S,United States,237249,13,0,0,0
"Corey, Mrs. Mary Emma",female,32,2nd,S,NA,13534,21,0,0,0
"Cor, Mr. Bartol",male,35,3rd,S,Croatia (Modern),349230,7.1711,0,0,0
"Cor, Mr. Ivan",male,27,3rd,S,Hungary,349229,7.1711,0,0,0
"Cor, Mr. Liudevit",male,19,3rd,S,Hungary,349231,7.1711,0,0,0
"Cornblatt, Mr. Harris",male,30,3rd,S,Poland,392090,8.01,0,0,0
"Cornell, Mrs. Malvina Helen",female,55,1st,S,United States,11770,25.141,2,0,1
"Corr, Miss. Ellen",female,16,3rd,Q,Ireland,367231,7.15,0,0,1
"Cotterill, Mr. Henry",male,21,2nd,S,England,29107,11.1,0,0,0
"Coutts, Master. Neville Leslie",male,3,3rd,S,England,37671,15.18,1,1,1
"Coutts, Master. William Loch",male,9,3rd,S,England,37671,15.18,1,1,1
"Coutts, Mrs. Winnie",female,36,3rd,S,England,37671,15.18,0,2,1
"Coxon, Mr. Daniel",male,58,3rd,S,England,364500,7.05,0,0,0
"Crafton, Mr. John Bertram",male,59,1st,S,United States,113791,26.11,0,0,0
"Crease, Mr. Ernest James",male,20,3rd,S,United States,3464,8.0302,0,0,0
"Cribb, Miss. Laura Mae",female,16,3rd,S,United States,371362,16.02,0,1,1
"Cribb, Mr. John Hatfield",male,43,3rd,S,Australia,371362,16.02,0,1,0
"Crosby, Captain. Edward Gifford",male,70,1st,S,United States,5735,71,1,1,0
"Crosby, Miss. Harriette Rebecca",female,39,1st,S,United States,112901,26.11,0,2,1
"Crosby, Mrs. Catherine Elizabeth",female,64,1st,S,United States,5735,71,1,1,1
"Culumovic, Mr. Jeso",male,17,3rd,S,Croatia (Modern),315090,8.1303,0,0,0
"Cumings, Mr. John Bradley",male,39,1st,C,United States,17599,71.0508,1,0,0
"Cumings, Mrs. Florence Briggs",female,35,1st,C,Peru,17599,71.0508,1,0,1
"Cunningham, Mr. Alfred Fleming",male,22,2nd,B,Northern Ireland,239853,NA,0,0,0
"Daher, Mr. Tannous",male,28,3rd,C,NA,2686,7.0407,0,0,0
"Dahlberg, Miss. Gerda Ulrika",female,22,3rd,S,Sweden,7552,10.1004,0,0,0
"Dahl, Mr. Charles Edward",male,45,3rd,S,NA,7598,8.01,0,0,1
"Dakic, Mr. Branko",male,19,3rd,S,NA,349228,10.0305,0,0,0
"Daly, Miss. Margaret Marcella",female,33,3rd,Q,Ireland,382650,6.19,0,0,1
"Daly, Mr. Eugene Patrick",male,29,3rd,Q,Ireland,382651,7.15,0,0,1
"Daly, Mr. Peter Dennis",male,51,1st,S,England,113055,26.11,0,0,1
"Danbom, Master. Gilbert Sigvard Emanuel",male,0.3333333333,3rd,S,Sweden,347080,14.08,0,2,0
"Danbom, Mr. Ernst Gilbert",male,34,3rd,S,Sweden,347080,14.08,1,1,0
"Danbom, Mrs. Anna Sigrid Maria",female,28,3rd,S,Sweden,347080,14.08,1,1,0
"Daniel, Mr. Robert Williams",male,27,1st,S,United States,113804,30.1,0,0,1
"Daniels, Miss. Sarah Rebecca",female,36,1st,S,England,113781,151.16,0,0,1
"Danoff, Mr. Yoto",male,27,3rd,S,NA,349219,7.1711,0,0,0
"Davidson, Mrs. Orian",female,27,1st,C,Canada,12750,52,1,2,1
"Davidson, Mr. Thornton",male,31,1st,C,Canada,12750,52,1,0,0
"Davies, Master. John Morgan jr",male,8,2nd,S,England,33112,36.15,1,1,1
"Davies, Mr. Alfred James",male,24,3rd,S,England,48871,24.03,2,0,0
"Davies, Mr. Charles Henry",male,19,2nd,S,England,14879,73.1,0,0,0
"Davies, Mr. Evan Lewis",male,22,3rd,S,Wales,23568,8.01,0,0,0
"Davies, Mr. John",male,22,3rd,S,England,48871,24.03,2,0,0
"Davies, Mr. Joseph",male,17,3rd,S,England,48873,8.01,2,0,0
"Davies, Mrs. Agnes",female,48,2nd,S,England,33112,36.15,0,2,1
"Davis, Miss. Mary Ann Charlotte",female,28,2nd,S,England,237668,13,0,0,1
"Davison, Mrs. Mary Elizabeth",female,34,3rd,S,England,386525,16.02,1,0,1
"Davison, Mr. Thomas Henry",male,32,3rd,S,England,386525,16.02,1,0,0
"Deacon, Mr. Percy William",male,18,2nd,S,England,14879,73.1,0,0,0
"Dean, Master. Bertram Vere",male,1,3rd,S,England,2315,20.1106,1,2,1
